Battery_Code	Brand	Length (mm)	Width (mm)	Height (mm)	Pole	Voltage (V)	Capacity (Ah)	CCA (A)	Case Type	Country of origin	Battery Weight (kg)	EAN	RRP
GYZ16H-WC	Yuasa	150	87	145		12	16	240	WC	USA	6	048493827162	268,00 €
GYZ16HL-WC	Yuasa	150	87	145		12	16	240	WC	USA	6	048493821689	273,00 €
GYZ20H-WC	Yuasa	175	87	155		12	20	320	WC	USA	6	048493827247	358,00 €
GYZ20HL-WC	Yuasa	175	87	155		12	20	320	WC	USA	6	048493728247	364,00 €
GYZ20L-WC	Yuasa	175	87	155		12	20	250	WC	USA	6,9	048493820194	327,00 €
GYZ32HL-WC	Yuasa	166	126	175		12	32	500	WC	USA	7,26	048493750002	411,00 €
YTZ4V-WC	Yuasa	113	70	85		12	3	64	WC	ID	1,6	5050694036781	59,00 €
YTZ5S-WC	Yuasa	115	72	86		12	3,5	65	WC	ID	1,6	5050694007101	68,00 €
YTZ6V-WC	Yuasa	113	70	105		12	5	90	WC	ID	2,3	5050694028724	75,00 €
YTZ7S-WC	Yuasa	113	70	105		12	6	130	WC	JP	2,1	4906958001525	85,00 €
YTZ7V-WC	Yuasa	113	70	120		12	6	105	WC	ID	2,5	5050694039621	89,00 €
YTZ8V-WC	Yuasa	113	70	130		12	7	120	WC	VN	2,1	5050694035944	97,00 €
YTZ10S-WC	Yuasa	150	87	93		12	8,6	190	WC	JP	3,2	4906958001464	110,00 €
YTZ12S-WC	Yuasa	150	87	110		12	11	210	WC	JP	3,7	4906958001471	115,00 €
YTZ14S-WC	Yuasa	150	87	110		12	11,2	230	WC	JP	3,9	4906958001518	124,00 €
YTZ4V-CP	Yuasa	113	70	85		12	3	64	CP	ID	1,15	5050694044205	59,00 €
YTZ5S-CP	Yuasa	115	72	86		12	3,5	65	CP	ID	1,6	5050694036927	68,00 €
YTZ6V-CP	Yuasa	113	70	105		12	5	90	CP	ID	2,3	5050694044212	75,00 €
YTX14H-WC	Yuasa	150	87	145		12	12	240	WC	USA	4,8	048493774442	210,00 €
YTX20HL-WC	Yuasa	175	87	155		12	18	310	WC	TW	6,3	5050694065484	233,00 €
YTX14AH-BS-CP	Yuasa	134	89	166		12	12	210	CP	TW	4,9	5050694065453	191,00 €
YTX14AHL-BS-CP	Yuasa	134	89	166		12	12	210	CP	TW	4,9	5050694065460	190,00 €
YTX14H-BS-CP	Yuasa	150	87	145		12	12	240	CP	USA	4,8	048493674445	190,00 €
YTX20CH-BS-CP	Yuasa	150	87	161		12	18	270	CP	USA	6,1	5050694010613	251,00 €
YTX20H-BS-CP	Yuasa	175	87	155		12	18	310	CP	USA	6,3	048493625058	215,00 €
YTX20HL-BS-CP	Yuasa	175	87	155		12	18	310	CP	TW	6,3	5050694065477	212,00 €
YTX20HL-PW-CP	Yuasa	175	87	175		12	18	310	CP	USA	6,3	048493621241	214,00 €
YTX24HL-BS-CP	Yuasa	205	87	162		12	21	350	CP	TW	7,9	5050694065491	260,00 €
YIX30L-WC	Yuasa	166	126	175		12	30	400	WC	USA	9,9	048493723020	354,00 €
YIX30L-PW-WC	Yuasa	166	126	175		12	30	400	WC	USA	9,9	048493723051	360,00 €
YIX30L-BS-CP	Yuasa	166	126	175		12	30	400	CP	USA	9,9	048493623023	340,00 €
YTX4L-WC	Yuasa	114	71	86		12	3	50	WC	TW	1,4	5050694044038	43,00 €
YTX5L-WC	Yuasa	115	72	107		12	4	80	WC	TW	2	5050694044045	83,00 €
YTX7L-WC	Yuasa	115	72	132		12	6	100	WC	VN	2,5	5050694061301	58,00 €
YTX7A-WC	Yuasa	150	87	93		12	6	105	WC	VN	2,6	5050694061295	62,00 €
YTX9-WC	Yuasa	152	87	107		12	8	135	WC	VN	3	5050694063084	64,00 €
YTX12-WC	Yuasa	150	87	130		12	10	180	WC	ID	4,2	5050694044687	82,00 €
YTX14-WC	Yuasa	150	87	145		12	12	200	WC	ID	4,6	5050694044694	90,00 €
YTX16-WC	Yuasa	150	87	161		12	14	230	WC	TW	5,3	5050694044113	152,00 €
YTX20L-WC	Yuasa	175	87	155		12	18	270	WC	TW	6,7	5050694044144	167,00 €
YTX4L-BS-CP	Yuasa	114	71	86		12	3	50	CP	ID	1,4	5050694007088	37,00 €
YTX5L-BS-CP	Yuasa	115	72	107		12	4	80	CP	ID	2	5050694007095	65,00 €
YTX7A-BS-CP	Yuasa	150	87	93		12	6	105	CP	ID	2,6	5050694036880	64,00 €
YTX7L-BS-CP	Yuasa	115	72	132		12	6	100	CP	ID	2,5	5050694001864	60,00 €
YTX9-BS-CP	Yuasa	152	87	107		12	8	135	CP	ID	3	5050694036897	67,00 €
YTX12-BS-CP	Yuasa	150	87	130		12	10	180	CP	ID	4,2	5050694036903	85,00 €
YTX14-BS-CP	Yuasa	150	87	145		12	12	200	CP	ID	4,6	5050694036910	94,00 €
YTX14L-BS-CP	Yuasa	150	87	145		12	12	200	CP	USA	4,6	048493374413	172,00 €
YTX16-BS-CP	Yuasa	150	87	161		12	14	230	CP	TW	5,3	5050694004520	145,00 €
YTX16-BS-1-CP	Yuasa	150	87	161		12	14	230	CP	TW	5,3	5050694004537	146,00 €
YTX20A-BS-CP	Yuasa	150	87	161		12	17	270	CP	TW	6,7	5050694000218	156,00 €
YTX20-BS-CP	Yuasa	175	87	155		12	18	270	CP	TW	6,7	5050694004544	159,00 €
YTX20L-BS-CP	Yuasa	175	87	155		12	18	270	CP	TW	6,7	5050694004551	159,00 €
TTZ7S-WC	Yuasa	113	70	105		12	6	90	WC	TW	2,3	5050694011405	113,00 €
TTZ10S-WC	Yuasa	150	87	93		12	8,6	190	WC	TW	3,2	5050694011443	124,00 €
TTZ12S-WC	Yuasa	150	87	110		12	11	210	WC	TW	3,9	5050694011450	156,00 €
TTZ14S-WC	Yuasa	150	84	110		12	11,2	230	WC	TW	3,9	5050694011467	173,00 €
TTZ10S-CP	Yuasa	150	87	93		12	8,6	190	CP	TW	3,2	5050694011412	124,00 €
TTZ12S-CP	Yuasa	150	87	110		12	11	210	CP	TW	3,9	5050694011429	156,00 €
TTZ14S-CP	Yuasa	150	84	110		12	11,2	230	CP	TW	3,9	5050694011436	173,00 €
YTB4L-WC	Yuasa	121	71	93		12	4	50	WC	VN	2,1	5050694049545	39,00 €
YTB9-WC	Yuasa	137	77	141		12	9	95	WC	VN	2,1	5050694049552	57,00 €
YT7B-WC	Yuasa	150	65	93		12	6,5	110	WC	TW	2,7	5050694004469	99,00 €
YT9B-WC	Yuasa	150	70	105		12	8	120	WC	TW	3,4	5050694004575	115,00 €
YT12A-WC	Yuasa	150	87	105		12	10	175	WC	TW	3,5	5050694000485	116,00 €
YT12B-WC	Yuasa	150	69	130		12	10	210	WC	TW	3,5	5050694004599	116,00 €
YT14B-WC	Yuasa	150	70	145		12	12	210	WC	TW	4,6	5050694004612	140,00 €
YT19BL-WC	Yuasa	186	82	171		12	17,7	170	WC	TW	5,6	5050694044762	163,00 €
YT4B-BS-CP	Yuasa	114	39	86,5		12	2,3	40	CP	JP	1,1	5050694000393	70,00 €
YTR4A-BS-CP	Yuasa	114	49	86		12	2,3	45	CP	JP	0,96	5050694000386	100,00 €
YT7B-BS-CP	Yuasa	150	65	93		12	6,5	110	CP	TW	2,7	5050694004452	97,00 €
YT9B-BS-CP	Yuasa	150	70	105		12	8	120	CP	TW	3,4	5050694004568	111,00 €
YT12A-BS-CP	Yuasa	150	87	105		12	10	175	CP	TW	3,5	5050694004490	114,00 €
YT12B-BS-CP	Yuasa	150	69	130		12	10	210	CP	TW	4,1	5050694004582	114,00 €
YT14B-BS-CP	Yuasa	150	70	145		12	12	210	CP	TW	4,6	5050694010606	134,00 €
YT19BL-BS-CP	Yuasa	186	82	171		12	17,7	170	CP	TW	5,6	5050694031946	155,00 €
YB3L-B-CP	Yuasa	99	57	111		12	3	30	CP	ID	1,176	5050694015113	28,00 €
YB4L-B-CP	Yuasa	121	71	93		12	4	45	CP	ID	1,5	5050694007347	32,00 €
YB5L-B-CP	Yuasa	121	61	131		12	5	60	CP	ID	1,64	5050694001987	35,00 €
YB7C-A-CP	Yuasa	130	90	114		12	7	75	CP	TW	2,4	5050694032165	78,00 €
