Category;Brand;CC;Model;Year;AGM_Premium;MF;Conventional;Conventional_Old
Motorcycles;AERMACCHI;125;SX;-;-;-;-;12N7-3B
Motorcycles;AERMACCHI;175;SX;-;-;-;-;12N7-3B
Motorcycles;AERMACCHI;250;Ala Azzurra/Bianca;-;-;-;-;6N11A-1B
Motorcycles;AERMACCHI;250;Ala Oro/Rossa/Verde;-;-;-;-;6N11A-1B
Motorcycles;AERMACCHI;250;Chimera;-;-;-;-;B39-6
Motorcycles;AERMACCHI;250;SX;-;-;-;-;12N7-3B
Motorcycles;AERMACCHI;350;Ala Azzurra/Bianca;-;-;-;-;6N11A-1B
Motorcycles;AERMACCHI;350;Ala Oro/Rossa/Verde;-;-;-;-;6N11A-1B
Motorcycles;APRILIA;50;AF-1 Futura/Europa;87-94;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Amico GL/LK/LX/Sport;92-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;AREA51;00;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Classic50;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;ET;-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Gulliver AC/LC;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;H2O;00-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Habana, Custom;99;-;-;YB4L-B;-
Motorcycles;APRILIA;50;LC;-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Mc Gulliver;00;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Mojito;-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;MX50;-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Pegaso;00-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Rally;04-05;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Rally AC/LC;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Red Rose/Classic;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Replica;00-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;RS50;00-05;-;-;YB4L-B;-
Motorcycles;APRILIA;50;RS50/Extrema;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;RX-50;-93;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Scarabeo 2T;97-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Scarabeo 4T;03-;-;-;YB9-B;-
Motorcycles;APRILIA;50;Scarabeo 50;00-03;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Scarabeo Diech;02-;-;YTX5L-BS;-;-
Motorcycles;APRILIA;50;Sonic;00-;-;-;YB4L-B;-
Motorcycles;APRILIA;50;Sonic, GP;99;-;-;YB4L-B;-
Motorcycles;APRILIA;50;SR CARB;08;-;-;YB9-B;-
Motorcycles;APRILIA;50;SR Ditech;01-;-;YTX5L-BS;-;-
Motorcycles;APRILIA;50;SR IE;08;-;-;YB9-B;-
Motorcycles;APRILIA;50;SR LC/Netscaper;-97;-;-;YB4L-B;-
Motorcycles;APRILIA;50;SR Netscaper;00-;-;-;YB4L-B;-
